campaign_id,campaign_name,channel_id,budget,spend,impressions,clicks,start_date,end_date
CMP-0,Campaign Centralized homogeneous encoding,CHN-3,13800,12498.91,1203540,34666,2022-03-20,2022-04-12
CMP-1,Campaign Open-source cohesive concept,CHN-3,97755,86236.49,3584560,77271,2022-05-01,2022-06-13
CMP-2,Campaign Reactive holistic hub,CHN-4,20413,16706.7,379636,17939,2022-02-23,2022-05-03
CMP-3,Campaign Pre-emptive responsive moratorium,CHN-9,46945,40462.56,3623037,112822,2022-07-29,2022-10-24
CMP-4,Campaign Future-proofed dedicated database,CHN-3,7560,6470.02,401630,13769,2022-04-02,2022-04-18
CMP-5,Campaign Managed analyzing migration,CHN-6,10237,9687.06,293642,8511,2023-09-16,2023-10-14
CMP-6,Campaign Optional asymmetric attitude,CHN-6,14303,14225.18,571008,5743,2023-09-23,2023-12-05
CMP-7,Campaign Business-focused uniform contingency,CHN-3,62551,50695.74,2462979,52469,2022-01-07,2022-04-07
CMP-8,Campaign Managed foreground groupware,CHN-4,8902,8371.38,325024,8972,2023-10-27,2023-11-21
CMP-9,Campaign Proactive fresh-thinking budgetary management,CHN-4,6615,5798.99,444690,11415,2022-02-14,2022-04-13
CMP-10,Campaign Diverse encompassing forecast,CHN-8,25269,23034.97,675829,33487,2022-10-15,2022-11-02
CMP-11,Campaign Decentralized radical emulation,CHN-4,71005,69035.37,2786140,77255,2022-09-29,2022-11-20
CMP-12,Campaign Programmable zero administration ability,CHN-8,14792,12553.98,986480,46586,2022-05-13,2022-07-06
CMP-13,Campaign Front-line modular protocol,CHN-6,90039,75290.5,2415757,88040,2022-12-18,2023-01-19
CMP-14,Campaign Self-enabling well-modulated info-mediaries,CHN-7,34893,31123.31,998414,40566,2023-01-28,2023-02-23
CMP-15,Campaign Visionary 5thgeneration extranet,CHN-1,67753,62572.42,3511719,41410,2022-08-02,2022-10-23
CMP-16,Campaign Visionary empowering circuit,CHN-0,11938,9575.03,281652,2846,2023-09-03,2023-11-01
CMP-17,Campaign Customer-focused neutral approach,CHN-6,65498,62643.64,1327917,13530,2022-09-27,2022-12-15
CMP-18,Campaign Fundamental 5thgeneration matrix,CHN-3,71328,63731.85,5579747,152590,2022-03-02,2022-05-16
CMP-19,Campaign Business-focused attitude-oriented interface,CHN-0,34539,31474.46,2580777,31680,2022-07-06,2022-07-26
CMP-20,Campaign Focused scalable Graphical User Interface,CHN-1,86419,70994.87,2491644,96791,2023-09-09,2023-10-10
CMP-21,Campaign Stand-alone client-driven customer loyalty,CHN-7,94949,83210.24,3445950,37588,2023-06-08,2023-07-27
CMP-22,Campaign Secured intangible infrastructure,CHN-4,86537,72568.7,4127850,147135,2023-11-19,2024-01-21
CMP-23,Campaign Object-based static contingency,CHN-9,56237,51760.23,3446852,92582,2022-04-26,2022-05-11
CMP-24,Campaign Fundamental client-server installation,CHN-3,61015,49245.37,4463765,137452,2022-06-08,2022-07-10
CMP-25,Campaign Grass-roots demand-driven implementation,CHN-5,77440,71723.73,1787579,35014,2022-08-05,2022-10-16
CMP-26,Campaign Public-key high-level monitoring,CHN-9,47711,44649.22,4391292,125605,2022-02-08,2022-04-05
CMP-27,Campaign Sharable 24hour synergy,CHN-7,22309,21213.42,817314,29445,2023-07-11,2023-10-01
CMP-28,Campaign Robust heuristic instruction set,CHN-6,24875,20130.36,1318666,32172,2023-03-28,2023-06-13
CMP-29,Campaign Multi-tiered systematic definition,CHN-1,68818,68027.66,5398805,154448,2023-06-01,2023-08-14
CMP-30,Campaign Progressive systemic open system,CHN-9,29864,28989.66,1626739,32806,2023-05-30,2023-07-09
CMP-31,Campaign Progressive didactic conglomeration,CHN-2,70069,57891.96,5352592,137415,2023-03-12,2023-04-22
CMP-32,Campaign Cloned analyzing installation,CHN-7,85903,74471.19,4150371,131290,2023-01-20,2023-03-20
CMP-33,Campaign Open-source eco-centric matrix,CHN-7,45643,41091.29,3268979,132273,2022-09-06,2022-11-10
CMP-34,Campaign Compatible neutral emulation,CHN-0,88751,71325.2,5523140,180559,2023-05-22,2023-07-20
CMP-35,Campaign Extended background forecast,CHN-4,5315,4483.39,75846,2943,2022-11-02,2022-11-23
CMP-36,Campaign Versatile analyzing groupware,CHN-5,31871,31074.27,1823411,24675,2022-07-29,2022-08-20
CMP-37,Campaign Profit-focused responsive capacity,CHN-4,5829,4675.33,198401,6212,2023-01-15,2023-02-22
CMP-38,Campaign Monitored object-oriented extranet,CHN-5,95112,86396.42,5938830,191169,2022-07-08,2022-09-02
CMP-39,Campaign Expanded asynchronous open architecture,CHN-4,57120,46481.75,4294647,199705,2023-03-29,2023-06-17
CMP-40,Campaign Business-focused web-enabled extranet,CHN-8,33644,32858.33,2882648,80858,2022-01-29,2022-02-24
CMP-41,Campaign Versatile explicit knowledgebase,CHN-6,30983,25944.65,1097617,40799,2023-06-08,2023-07-07
CMP-42,Campaign Self-enabling analyzing productivity,CHN-4,83169,72441.89,5073265,97668,2023-01-10,2023-02-12
CMP-43,Campaign Realigned motivating array,CHN-4,93373,88258.23,6923174,233510,2023-03-14,2023-04-03
CMP-44,Campaign Face-to-face systemic paradigm,CHN-1,98840,82704.29,5090098,169336,2022-09-22,2022-10-06
CMP-45,Campaign Cross-group didactic orchestration,CHN-8,85528,84341.25,7835876,327561,2023-07-28,2023-10-23
CMP-46,Campaign Function-based 24/7 analyzer,CHN-4,15446,14540.41,811430,17558,2022-07-10,2022-08-28
CMP-47,Campaign Profit-focused multi-state model,CHN-5,52455,47170.78,1790511,34673,2023-10-27,2023-12-03
CMP-48,Campaign De-engineered contextually-based encryption,CHN-9,82448,71810.75,1205815,57433,2023-07-25,2023-09-28
CMP-49,Campaign Organized holistic complexity,CHN-2,48752,40389.87,3181179,60076,2023-10-08,2023-12-25
CMP-50,Campaign Down-sized uniform service-desk,CHN-2,18504,18407.96,905142,28551,2023-07-20,2023-09-16
CMP-51,Campaign Progressive secondary intranet,CHN-0,17927,16791.83,227861,6444,2022-12-11,2023-03-11
CMP-52,Campaign Ameliorated 4thgeneration policy,CHN-4,15012,12616.92,958163,34088,2023-04-18,2023-05-04
CMP-53,Campaign Monitored modular functionalities,CHN-4,42622,40903.12,720367,14681,2022-05-27,2022-06-29
CMP-54,Campaign Ergonomic discrete open system,CHN-8,32450,31120.68,362470,16391,2023-09-22,2023-11-16
CMP-55,Campaign Right-sized system-worthy complexity,CHN-9,73442,66949.75,5972618,257233,2023-03-31,2023-05-10
CMP-56,Campaign Focused even-keeled middleware,CHN-8,33852,31181.49,1062705,37822,2023-02-13,2023-02-27
CMP-57,Campaign Extended content-based secured line,CHN-9,52044,45329.68,1006140,36786,2022-06-11,2022-08-11
CMP-58,Campaign Devolved heuristic time-frame,CHN-3,85182,70010.32,5482784,265609,2022-09-01,2022-10-25
CMP-59,Campaign Switchable fault-tolerant benchmark,CHN-7,79914,77012.48,7334519,308868,2023-02-22,2023-03-23
CMP-60,Campaign Visionary executive policy,CHN-8,26185,25913.78,1358190,27016,2023-05-13,2023-08-06
CMP-61,Campaign Total cohesive middleware,CHN-5,83636,79989.39,4213820,107682,2022-02-19,2022-03-17
CMP-62,Campaign Inverse national neural-net,CHN-8,90474,75694.29,7005449,343799,2023-04-25,2023-06-14
CMP-63,Campaign Multi-channeled intangible strategy,CHN-0,17192,14176.24,525589,16740,2023-07-01,2023-09-27
CMP-64,Campaign Inverse stable Internet solution,CHN-9,51840,43028.64,820631,36085,2022-10-24,2022-11-13
CMP-65,Campaign Object-based analyzing knowledgebase,CHN-7,7966,6470.05,625391,14811,2022-11-26,2023-02-14
CMP-66,Campaign De-engineered bottom-line function,CHN-0,71913,59724.19,5257929,94445,2022-04-23,2022-06-03
CMP-67,Campaign Synergized 5thgeneration alliance,CHN-5,28490,23683.88,1963706,94770,2023-04-09,2023-05-24
CMP-68,Campaign De-engineered client-server hub,CHN-0,44515,35987.34,2891693,102956,2022-07-25,2022-09-09
CMP-69,Campaign Switchable fresh-thinking framework,CHN-5,17573,15525.87,1513975,65837,2023-04-17,2023-07-09
CMP-70,Campaign Business-focused executive knowledge user,CHN-3,92072,74777.03,5528522,262005,2023-10-02,2023-11-14
CMP-71,Campaign Sharable stable structure,CHN-0,70469,57348.56,3340793,80589,2022-11-24,2022-12-17
CMP-72,Campaign Versatile exuding pricing structure,CHN-6,22120,20837.19,1512615,72773,2022-03-13,2022-05-02
CMP-73,Campaign Re-contextualized logistical capability,CHN-2,47282,40285.86,3641460,118549,2023-11-15,2023-12-25
CMP-74,Campaign Business-focused optimizing forecast,CHN-2,26856,26179.27,313892,13208,2022-03-10,2022-05-08
CMP-75,Campaign User-friendly tertiary Graphic Interface,CHN-7,94708,81761.43,1036416,35224,2022-03-22,2022-05-31
CMP-76,Campaign Grass-roots interactive algorithm,CHN-7,83897,82631.82,6123034,199389,2022-01-22,2022-03-15
CMP-77,Campaign Enterprise-wide 24/7 standardization,CHN-5,88861,83547.08,921472,45802,2022-07-07,2022-08-07
CMP-78,Campaign Advanced client-driven moratorium,CHN-7,10791,8796.78,445523,13249,2023-09-18,2023-10-11
CMP-79,Campaign Reduced user-facing strategy,CHN-3,94872,81245.96,4807901,162204,2023-09-07,2023-10-13
CMP-80,Campaign Devolved heuristic flexibility,CHN-7,78784,75406.9,2254265,101974,2022-11-12,2022-12-31
CMP-81,Campaign Innovative clear-thinking attitude,CHN-0,7349,6561.29,494642,17410,2023-03-06,2023-05-14
CMP-82,Campaign Extended directional array,CHN-9,52030,46754.47,2067224,47232,2023-04-29,2023-06-08
CMP-83,Campaign Team-oriented zero tolerance utilization,CHN-8,78064,66297.22,1084214,14982,2022-11-30,2023-02-27
CMP-84,Campaign Innovative non-volatile interface,CHN-7,25815,21370.83,1783684,54609,2023-09-05,2023-11-26
CMP-85,Campaign Public-key disintermediate throughput,CHN-5,6114,5025.62,481321,17971,2022-09-18,2022-11-05
CMP-86,Campaign Adaptive responsive task-force,CHN-3,14243,12521.84,1187320,15785,2023-05-16,2023-05-31
CMP-87,Campaign Synergistic human-resource focus group,CHN-5,39288,31662.92,1858908,39526,2023-05-02,2023-07-21
CMP-88,Campaign Face-to-face stable hierarchy,CHN-4,34457,28405.28,2108745,88603,2022-05-23,2022-08-03
CMP-89,Campaign Business-focused homogeneous budgetary management,CHN-1,36726,33517.5,3164403,122012,2022-04-29,2022-07-24
CMP-90,Campaign Centralized incremental complexity,CHN-0,94610,89697.79,3741795,84566,2022-10-15,2023-01-06
CMP-91,Campaign Managed zero administration emulation,CHN-9,58769,48597.17,3014383,68271,2022-05-15,2022-07-31
CMP-92,Campaign Re-contextualized homogeneous toolset,CHN-5,48824,43946.11,2946541,76014,2023-04-05,2023-05-09
CMP-93,Campaign Open-source 6thgeneration forecast,CHN-0,12961,12548.43,1136036,19995,2023-10-14,2023-11-25
CMP-94,Campaign Expanded context-sensitive budgetary management,CHN-5,24455,19809.54,942462,30042,2022-05-26,2022-06-10
CMP-95,Campaign Phased user-facing neural-net,CHN-1,33136,31715.86,3105112,66146,2022-06-15,2022-09-08
CMP-96,Campaign Team-oriented executive protocol,CHN-2,32077,27267.16,1422144,32242,2023-04-03,2023-05-27
CMP-97,Campaign Future-proofed next generation capability,CHN-2,34285,28420.97,1247366,61191,2022-08-03,2022-10-26
CMP-98,Campaign Seamless foreground strategy,CHN-2,19805,16314.96,769383,7923,2022-11-24,2022-12-13
CMP-99,Campaign Grass-roots object-oriented matrices,CHN-9,53766,51541.28,1995529,39291,2023-08-01,2023-10-29
